page_id,revision_id,simple_vandalism
1806,1256757,V
1806,1257253,V
1806,1257537,V
1806,1259937,V
1806,1272037,V
1806,1273054,V
1806,1275070,V
1806,1478211,V
1806,1537578,V
1806,1539377,V
1806,1541493,V
1806,1541579,V
1806,1541785,V
1806,1545385,V
1806,1552452,V
1806,1609601,V
1806,1758677,V
1806,1761381,V
1806,1761400,V
1806,1762755,V
1806,1765069,V
1806,1770405,V
1806,1771956,V
1806,2593769,V
1806,2807941,V
1806,3277125,V
1806,3660763,V
1806,3871396,V
1806,3958130,V
1806,4662174,V
1806,4749110,V
1806,4758360,V
1806,4926899,V
1806,5363154,V
1806,5589657,V
1806,5999262,V
1806,6179706,V
1806,6255173,V
1806,6255249,V
1806,6456439,V
1806,6509683,V
1806,6819383,V
1806,7279556,V
1806,7420604,V
1806,7422183,V
1806,7445205,V
1806,7624093,V
1806,7633204,V
1806,7645366,V
1806,7645455,V
1806,7648617,V
1806,7764222,V
1806,7778298,V
1806,8139237,V
1806,8154412,V
1806,8273848,V
1806,8725610,V
1806,9350055,V
1806,10257580,V
1806,10712388,V
1806,10745968,V
1806,10897014,V
1806,10972131,V
1806,11375900,V
1806,11688694,V
1806,11961479,V
1806,11961585,V
1806,11961661,V
1806,11965872,V
1806,12082480,V
1806,12100490,V
1806,12280757,V
1806,12303394,V
1806,12303612,V
1806,12519284,V
1806,12562017,V
1806,12562068,V
1806,13348147,V
1806,13573398,V
1806,13575440,V
1806,13757538,V
1806,13835351,V
1806,13845364,V
1806,14273093,V
1806,14531412,V
1806,14777688,V
1806,14805262,V
1806,14829032,V
1806,15247172,V
1806,15627936,V
1806,15681763,V
1806,17741966,V
1806,18120574,V
1806,18121988,V
1806,18122779,V
1806,18124669,V
1806,18403257,V
1806,18627504,V
1806,19213170,V
1806,19256657,V
1806,19702251,V
1806,19747548,V
1806,19759636,V
1806,19763986,V
1806,19812853,V
1806,20031595,V
1806,20217505,V
1806,20356883,V
1806,21521227,V
1806,21555817,V
1806,22134720,V
1806,22314047,V
1806,22486617,V
1806,22536722,V
1806,22557979,V
1806,22558234,V
1806,22599786,V
1806,22703863,V
1806,22935087,V
1806,23151684,V
1806,23266095,V
1806,23286563,V
1806,23415036,V
1806,23750915,V
1806,23765158,V
1806,23830817,V
1806,24028838,V
1806,24157899,V
1806,24737099,V
1806,24737263,V
1806,24984002,V
1806,25051788,V
1806,25284134,V
1806,25387834,V
1806,25749844,V
1806,25767970,V
1806,25928448,V
1806,25932714,V
1806,26431885,V
1806,26558383,V
1806,26982550,V
1806,27441673,V
1806,27511265,V
1806,27511345,V
1806,27796484,V
1806,28018353,V
1806,28157919,V
1806,28416603,V
1806,28928794,V
1806,28929001,V
1806,28937090,V
1806,28978983,V
1806,29374957,V
1806,29406993,V
1806,29468084,V
1806,29488031,V
1806,29522057,V
1806,29599514,V
1806,29599592,V
1806,29617737,V
1806,30135627,V
1806,30472034,V
1806,30683823,V
1806,30699008,V
1806,30778123,V
1806,31033019,V
1806,31136074,V
1806,31141483,V
